leaderboard,timestamp,tier,score
leagues,2019-05-06T11:44:29Z,0,906.0
leagues,2019-05-13T17:27:48Z,1,848.0
leagues,2019-05-20T20:50:44Z,2,675.0
leagues,2019-05-27T06:35:40Z,3,633.0
leagues,2019-06-03T08:58:33Z,3,499.0
leagues,2019-06-10T10:06:50Z,3,827.0
leagues,2019-06-17T09:00:54Z,4,326.0
leagues,2019-06-24T04:38:56Z,4,260.0
leagues,2019-07-01T07:14:26Z,3,532.0
leagues,2019-07-08T13:10:14Z,3,388.0
leagues,2019-07-15T13:47:30Z,3,375.0
leagues,2019-07-22T09:52:44Z,3,322.0
leagues,2019-07-29T11:46:07Z,3,540.0
leagues,2019-08-05T13:51:55Z,3,223.0
leagues,2019-08-12T05:12:32Z,3,214.0
leagues,2019-08-19T05:13:25Z,3,476.0
leagues,2019-08-26T11:20:02Z,3,565.0
leagues,2019-09-02T11:58:14Z,3,438.0
leagues,2019-09-09T12:14:55Z,3,409.0
leagues,2019-09-16T12:01:51Z,3,451.0
leagues,2019-09-23T11:32:56Z,3,357.0
leagues,2019-09-30T13:34:43Z,3,229.0
leagues,2019-10-07T12:01:07Z,3,192.0
leagues,2019-10-14T17:14:26Z,3,214.0
leagues,2019-10-21T16:57:07Z,3,275.0
leagues,2019-10-28T15:40:13Z,3,301.0
leagues,2019-11-04T16:20:02Z,3,201.0
leagues,2019-11-11T06:50:48Z,3,441.0
leagues,2019-11-18T13:50:36Z,3,271.0
leagues,2019-11-25T17:04:42Z,3,331.0
leagues,2019-12-02T15:48:06Z,3,311.0
leagues,2019-12-09T14:57:36Z,3,312.0
leagues,2019-12-16T13:55:25Z,3,243.0
leagues,2019-12-23T11:07:36Z,3,393.0
leagues,2019-12-30T07:43:08Z,4,608.0
leagues,2020-01-06T12:57:34Z,4,355.0
leagues,2020-01-13T06:26:50Z,4,224.0
leagues,2020-01-20T09:59:19Z,4,417.0
leagues,2020-01-27T14:32:47Z,4,334.0
leagues,2020-02-03T12:52:02Z,4,324.0
leagues,2020-02-10T08:23:15Z,4,338.0
leagues,2020-02-17T12:58:38Z,4,302.0
leagues,2020-02-24T12:17:08Z,4,219.0
leagues,2020-03-02T12:29:35Z,4,296.0
leagues,2020-03-09T10:38:42Z,4,340.0
leagues,2020-03-16T14:21:36Z,4,374.0
leagues,2020-03-23T07:02:43Z,4,426.0
leagues,2020-03-30T07:12:04Z,4,451.0
leagues,2020-04-06T05:45:19Z,5,369.0
leagues,2020-04-13T09:17:12Z,5,394.0
leagues,2020-04-20T10:07:55Z,5,296.0
leagues,2020-04-27T08:26:25Z,5,357.0
leagues,2020-05-04T07:10:49Z,5,300.0
leagues,2020-05-11T07:40:08Z,5,392.0
leagues,2020-05-18T07:35:29Z,5,387.0
leagues,2020-05-25T07:09:54Z,5,409.0
leagues,2020-06-01T07:03:21Z,5,347.0
leagues,2020-06-08T07:14:27Z,5,409.0
leagues,2020-06-15T07:43:26Z,5,385.0
leagues,2020-06-22T07:34:42Z,5,294.0
leagues,2020-06-29T08:11:42Z,5,350.0
leagues,2020-07-06T08:07:24Z,5,390.0
leagues,2020-07-13T11:39:33Z,5,336.0
leagues,2020-07-20T13:55:18Z,5,417.0
leagues,2020-07-27T15:16:42Z,5,351.0
leagues,2020-08-03T13:45:42Z,5,293.0
leagues,2020-08-10T05:46:01Z,5,410.0
leagues,2020-08-17T06:22:55Z,5,447.0
leagues,2020-08-24T06:58:33Z,5,379.0
leagues,2020-08-31T06:12:31Z,5,336.0
leagues,2020-09-07T13:16:49Z,5,294.0
leagues,2020-09-14T07:00:43Z,5,850.0
leagues,2020-09-21T07:28:22Z,6,239.0
leagues,2020-09-28T06:50:25Z,6,367.0
leagues,2020-10-05T09:34:53Z,6,367.0
leagues,2020-10-12T13:56:32Z,6,307.0
leagues,2020-10-19T07:10:46Z,6,412.0
leagues,2020-10-26T07:43:29Z,6,319.0
leagues,2020-11-02T07:40:51Z,6,241.0
leagues,2020-11-09T09:38:41Z,6,246.0
leagues,2020-11-16T08:53:01Z,6,311.0
leagues,2020-11-23T09:43:42Z,6,319.0
leagues,2020-11-30T08:17:05Z,6,401.0
leagues,2020-12-07T07:48:33Z,6,435.0
leagues,2020-12-14T08:08:17Z,7,393.0
leagues,2020-12-21T08:48:17Z,7,320.0
leagues,2020-12-28T09:13:38Z,7,262.0
leagues,2021-01-04T09:54:44Z,7,209.0
leagues,2021-01-11T12:19:30Z,6,272.0
leagues,2021-01-18T08:24:16Z,6,250.0
leagues,2021-01-25T08:15:24Z,6,230.0
leagues,2021-02-01T08:15:09Z,6,240.0
leagues,2021-02-08T07:58:39Z,6,331.0
leagues,2021-02-15T08:30:18Z,7,330.0
leagues,2021-02-22T08:21:15Z,7,276.0
leagues,2021-03-01T07:29:22Z,6,322.0
leagues,2021-03-08T08:13:31Z,7,328.0
leagues,2021-03-15T07:48:00Z,7,363.0
leagues,2021-03-22T07:01:05Z,7,323.0
leagues,2021-03-29T06:51:16Z,7,288.0
leagues,2021-04-05T07:28:31Z,7,350.0
leagues,2021-04-12T06:57:19Z,7,328.0
leagues,2021-04-19T06:38:08Z,7,323.0
leagues,2021-04-26T07:16:56Z,7,293.0
leagues,2021-05-03T06:44:31Z,7,372.0
leagues,2021-05-10T06:58:31Z,8,273.0
leagues,2021-05-17T06:42:54Z,8,336.0
leagues,2021-05-24T07:01:42Z,9,286.0
leagues,2021-05-31T07:29:48Z,9,316.0
leagues,2021-06-07T05:52:25Z,9,248.0
leagues,2021-06-14T05:41:29Z,9,247.0
leagues,2021-06-21T07:07:16Z,9,227.0
leagues,2021-06-28T06:45:02Z,8,252.0
leagues,2021-07-05T07:00:15Z,8,322.0
leagues,2021-07-12T07:03:07Z,8,276.0
leagues,2021-07-19T07:07:29Z,7,270.0
leagues,2021-07-26T07:00:38Z,7,337.0
